period,ticker,origin,endpoint,horizon,origin_spot,observed,daily_variance,daily_drift,return_count,stock_feature_age,market_feature_age
2025,LLY,2025-08-15,2025-08-18,1,701.23,698.05,0.0011345788066225268,0.0,2921,0,0
2025,LLY,2025-08-15,2025-08-22,5,701.23,711.68,0.0011345788066225268,0.0,2921,0,0
2025,LLY,2025-08-18,2025-08-19,1,698.05,703.21,0.0011011612083958557,0.0,2922,0,0
2025,LLY,2025-08-18,2025-08-25,5,698.05,695.33,0.0011011612083958557,0.0,2922,0,0
2025,LLY,2025-08-19,2025-08-20,1,703.21,705.44,0.0010697535953363777,0.0,2923,0,0
2025,LLY,2025-08-19,2025-08-26,5,703.21,736.03,0.0010697535953363777,0.0,2923,0,0
2025,LLY,2025-08-20,2025-08-21,1,705.44,709.82,0.0010379617235313594,0.0,2924,0,0
2025,LLY,2025-08-20,2025-08-27,5,705.44,734.17,0.0010379617235313594,0.0,2924,0,0
2025,LLY,2025-08-21,2025-08-22,1,709.82,711.68,0.0010079722416095384,0.0,2925,0,0
2025,LLY,2025-08-21,2025-08-28,5,709.82,731.96,0.0010079722416095384,0.0,2925,0,0
2025,LLY,2025-08-22,2025-08-25,1,711.68,695.33,0.0009779385280306412,0.0,2926,0,0
2025,LLY,2025-08-22,2025-08-29,5,711.68,732.58,0.0009779385280306412,0.0,2926,0,0
2025,LLY,2025-08-25,2025-08-26,1,695.33,736.03,0.0009648058369324624,0.0,2927,0,0
2025,LLY,2025-08-25,2025-09-02,5,695.33,735.19,0.0009648058369324624,0.0,2927,0,0
2025,LLY,2025-08-26,2025-08-27,1,736.03,734.17,0.0010329364573070784,0.0,2928,0,0
2025,LLY,2025-08-26,2025-09-03,5,736.03,737.83,0.0010329364573070784,0.0,2928,0,0
2025,LLY,2025-08-27,2025-08-28,1,734.17,731.96,0.0010021404314759612,0.0,2929,0,0
2025,LLY,2025-08-27,2025-09-04,5,734.17,742.91,0.0010021404314759612,0.0,2929,0,0
2025,LLY,2025-08-28,2025-08-29,1,731.96,732.58,0.0009723488785694327,0.0,2930,0,0
2025,LLY,2025-08-28,2025-09-05,5,731.96,727.21,0.0009723488785694327,0.0,2930,0,0
2025,LLY,2025-08-29,2025-09-02,1,732.58,735.19,0.0009431999183391157,0.0,2931,0,0
2025,LLY,2025-08-29,2025-09-08,5,732.58,738.64,0.0009431999183391157,0.0,2931,0,0
